jurisdiction,week,first_dose,second_dose,vaccine
American Samoa,03/15/2021,0,0,moderna
Guam,03/15/2021,0,0,moderna
Marshall Islands,03/15/2021,0,0,moderna
Micronesia,03/15/2021,0,0,moderna
Mariana Islands,03/15/2021,0,0,moderna
Palau,03/15/2021,0,0,moderna
Alaska,03/15/2021,0,0,moderna
Idaho,03/15/2021,15800,15800,moderna
Oregon,03/15/2021,40800,40800,moderna
Washington,03/15/2021,72400,72400,moderna
Federal Entities,03/15/2021,143000,143000,moderna
Connecticut,03/08/2021,35800,35800,moderna
Maine,03/08/2021,13700,13700,moderna
Massachusetts,03/08/2021,69000,69000,moderna
New Hampshire,03/08/2021,13700,13700,moderna
Rhode Island,03/08/2021,10800,10800,moderna
Vermont,03/08/2021,6500,6500,moderna
New Jersey,03/08/2021,87400,87400,moderna
New York,03/08/2021,111300,111300,moderna
New York City,03/08/2021,84500,84500,moderna
Puerto Rico,03/08/2021,34200,34200,moderna
U.S. Virgin Islands,03/08/2021,1100,1100,moderna
Delaware,03/08/2021,9500,9500,moderna
District of Columbia,03/08/2021,7200,7200,moderna
Maryland,03/08/2021,59000,59000,moderna
Pennsylvania,03/08/2021,112400,112400,moderna
Philadelphia,03/08/2021,15600,15600,moderna
Virginia,03/08/2021,82800,82800,moderna
West Virginia,03/08/2021,18500,18500,moderna
Alabama,03/08/2021,47700,47700,moderna
Florida,03/08/2021,208000,208000,moderna
Georgia,03/08/2021,98600,98600,moderna
Kentucky,03/08/2021,43400,43400,moderna
Mississippi,03/08/2021,28700,28700,moderna
North Carolina,03/08/2021,99500,99500,moderna
South Carolina,03/08/2021,48800,48800,moderna
Tennessee,03/08/2021,65200,65200,moderna
Chicago,03/08/2021,26500,26500,moderna
Illinois,03/08/2021,98700,98700,moderna
Indiana,03/08/2021,64100,64100,moderna
Michigan,03/08/2021,98200,98200,moderna
Minnesota,03/08/2021,53800,53800,moderna
Ohio,03/08/2021,114100,114100,moderna
Wisconsin,03/08/2021,57100,57100,moderna
Arkansas,03/08/2021,28900,28900,moderna
Louisiana,03/08/2021,45000,45000,moderna
New Mexico,03/08/2021,20500,20500,moderna
Oklahoma,03/08/2021,37500,37500,moderna
Texas,03/08/2021,260400,260400,moderna
Iowa,03/08/2021,30400,30400,moderna
Kansas,03/08/2021,27800,27800,moderna
Missouri,03/08/2021,59500,59500,moderna
Nebraska,03/08/2021,18400,18400,moderna
Colorado,03/08/2021,54100,54100,moderna
Montana,03/08/2021,10400,10400,moderna
North Dakota,03/08/2021,7500,7500,moderna
South Dakota,03/08/2021,8300,8300,moderna
Utah,03/08/2021,27100,27100,moderna
Wyoming,03/08/2021,5700,5700,moderna
Arizona,03/08/2021,67600,67600,moderna
California,03/08/2021,380300,380300,moderna
Hawaii,03/08/2021,14200,14200,moderna
Nevada,03/08/2021,28500,28500,moderna
